class,variable,value,period,deal,link,pub_date
A-1,InitialNotePrincipalBalance,274000000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-2,InitialNotePrincipalBalance,353000000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-3,InitialNotePrincipalBalance,353000000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-4,InitialNotePrincipalBalance,74070000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
B,InitialNotePrincipalBalance,23450000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
C,InitialNotePrincipalBalance,19540000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
D,InitialNotePrincipalBalance,14520000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
Certificates,InitialNotePrincipalBalance,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-1,BeginningNotePrincipalBalance,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-2,BeginningNotePrincipalBalance,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-3,BeginningNotePrincipalBalance,71743964.94,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-4,BeginningNotePrincipalBalance,74070000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
B,BeginningNotePrincipalBalance,23450000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
