class,value,variable,period,company,link
A-1,0,BeginningNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-2,0,BeginningNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-3,164914852.88,BeginningNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-4,117800000,BeginningNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
B,24800000,BeginningNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
C,26200000,BeginningNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
D,30200000,BeginningNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-1,0,EndingNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-2,0,EndingNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-3,147354762.22,EndingNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-4,117800000,EndingNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
B,24800000,EndingNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
C,26200000,EndingNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
D,30200000,EndingNotePrincipalBalance,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-1,0,InterestDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-2,0,InterestDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-3,272109.51,InterestDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-4,222838.33,InterestDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
B,52493.33,InterestDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
C,62006.67,InterestDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
D,86321.67,InterestDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-1,0,PrincipalDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-2,0,PrincipalDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-3,17560090.66,PrincipalDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-4,0,PrincipalDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
B,0,PrincipalDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
C,0,PrincipalDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
D,0,PrincipalDistribution,2019-11-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000062/a2017-1ex991121619.htm
A-1,0,BeginningNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-2,0,BeginningNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-3,184499797.71,BeginningNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-4,117800000,BeginningNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
B,24800000,BeginningNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
C,26200000,BeginningNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
D,30200000,BeginningNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-1,0,EndingNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-2,0,EndingNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-3,164914852.88,EndingNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-4,117800000,EndingNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
B,24800000,EndingNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
C,26200000,EndingNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
D,30200000,EndingNotePrincipalBalance,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-1,0,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-2,0,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-3,304424.67,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-4,222838.33,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
B,52493.33,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
C,62006.67,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
D,86321.67,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-1,0,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
